日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-06-20 03:32,PEK,5358,737-800,25,4,26,4,4,28,,,,,1,3
2019-06-20 03:30,DLC,1545,737-800,20,5,32,5,5,32,,,,,12,12
2019-06-20 03:26,CGO,1586,737-800,25,4,32,4,4,30,,,,,7,5
2019-06-20 03:24,URC ,5661,737-800,26,3,26,4,4,28,,,,,0,2
2019-06-20 03:19,CAN,5337,737-800,27,7,36,6,7,35,,,,,9,8
2019-06-20 03:19,HAK,5483,737-800,29,7,36,7,6,32,,,,,7,3
2019-06-20 03:18,HAJ,1786,737-800,29,5,36,6,6,30,,,,,7,1
2019-06-20 03:16,FOC,5687,737-800,26,8,37,5,5,35,,,,,11,9
2019-06-20 03:15,XIY,1481,737-800,21,5,30,6,6,32,,,,,9,11
2019-06-20 03:13,URC,206P,737-800,25,4,25,3,3,24,,,,,0,-1
2019-06-20 03:12,XIY,1903,737-800,21,2,40,2,3,28,,,,,19,7
2019-06-20 03:12,SZX,7175,737-800,29,4,32,4,4,30,,,,,3,1
2019-06-20 03:09,XIY,1928,737-800,25,5,24,5,5,26,,,,,-1,1
2019-06-20 03:07,XIY,1482,737-800,21,3,32,3,3,28,,,,,11,7
2019-06-20 03:03,HAK,1346,737-800,29,7,37,5,5,35,,,,,8,6
2019-06-20 02:52,SYX,5662,737-800,29,6,30,5,3,33,,,,,1,4
2019-06-20 02:49,HHA,5540,737-800,29,6,35,4,3,32,,,,,6,3
2019-06-20 02:48,DLC,5375,737-800,19,2,27,5,5,29,,,,,8,10
2019-06-20 02:43,XIY,1493,737-800,22,6,28,6,7,24,,,,,6,2
2019-06-20 02:36,HAK,1373,737-800,28,4,32,4,4,31,,,,,4,3
2019-06-20 02:35,DLC,1375,737-800,21,5,28,4,5,24,,,,,7,3
2019-06-20 02:33,DLC,1375,737-800,21,5,28,4,5,24,,,,,7,3
2019-06-20 02:32,XIY,1162,737-800,21,3,34,3,3,30,,,,,13,9
2019-06-20 02:27,TYN,6808,737-800,20,4,30,4,4,28,,,,,10,8
2019-06-20 02:26,PEK,5539,737-800,26,5,30,6,6,28,,,,,4,2
2019-06-20 02:26,SYX ,1501,737-800,30,6,35,5,4,36,,,,,5,6
2019-06-20 02:24,PEK,1796,737-800,24,6,30,6,7,28,,,,,6,4
2019-06-20 02:22,PEK,1735,737-800,24,5,30,5,4,26,,,,,6,2
2019-06-20 02:22,URC,2157,737-800,25,4,24,4,6,27,,,,,-1,2
2019-06-20 02:21,HGH,5462,737-800,25,4,30,5,4,31,,,,,5,6
2019-06-20 02:19,SZX,5625,737-800,30,7,36,5,4,34,,,,,6,4
2019-06-20 02:18,HHA,5406,737-800,30,5,34,5,5,32,,,,,4,2
2019-06-20 02:17,KMG,7989,737-800,20,7,32,8,6,32,,,,,12,12
2019-06-20 02:16,SYX,5478,737-800,30,8,37,6,4,30,,,,,7,0
2019-06-20 02:16,KMG,7989,737-800,20,7,32,8,6,32,,,,,12,12
2019-06-20 02:16,KAK,206G,737-800,28,4,36,4,4,35,,,,,8,7
2019-06-20 02:11,URC,5637,737-800,27,3,27,3,3,26,,,,,0,-1
2019-06-20 02:11,HAK,1542,737-800,30,4,37,4,4,33,,,,,7,3
2019-06-20 02:10,URC,6268,737-800,26,3,24,2,2,25,,,,,-2,-1
2019-06-20 02:07,SYX,5686,737-800,29,8,36,6,6,34,,,,,7,5
2019-06-20 01:58,CAN,5579,737-800,29,5,35,5,6,36,,,,,6,7
2019-06-20 01:56,XIY,5581,737-800,21,4,24,5,4,28,,,,,3,7
2019-06-20 01:56,HHA,1783,737-800,30,6,33,6,7,35,,,,,3,5
2019-06-20 01:55,CGO,1569,737-800,24,4,29,4,4,29,,,,,5,5
2019-06-20 01:51,HAK,6061,737-800,30,4,34,6,4,36,,,,,4,6
2019-06-20 01:51,HAK,5733,737-800,29,9,37,5,5,33,,,,,8,4
2019-06-20 01:49,HGH,5418,737-800,23,6,30,4,5,29,,,,,7,6
2019-06-20 01:48,XIY,1480,737-800,21,4,29,5,4,28,,,,,8,7
2019-06-20 01:47,FOC,5430,737-800,28,6,34,6,5,36,,,,,6,8
2019-06-20 01:46,HHA,1995,737-800,30,7,35,7,6,35,,,,,5,5
