飞机号,时间,环境温度(℃),左温差,右温差,左边CONTCABINDUCT,左边FWDDUCT,左边AFTDUCT,左边LPACK,左边SUPPLYDUCT,右边CONTCABINDUCT,右边FWDDUCT,右边AFTDUCT,右边LPACK,右边SUPPLYDUCT,排故措施
,,11,13,12,3,0,0,24,0,0,3,3,23,0,正常
,,15,9,7,6,0,0,24,0,0,5,6,22,0,正常
,,20,2,2,2,0,0,22,0,0,3,8,22,0,正常
,,25,4,6,1,0,0,29,0,0,9,8,31,0,正常
,,15,7,6,4,0,0,22,0,0,4,4,21,0,正常
,,28,0,-2,2,0,0,28,0,0,3,3,26,0,正常
,,10,11,10,3,0,0,21,0,0,2,3,20,0,正常
,,20,0,0,4,0,0,20,0,0,4,4,20,0,正常
,,18,4,3,4,0,0,22,0,0,5,4,21,0,正常
,,28,2,-2,4,0,0,30,0,0,4,3,26,0,正常
,,18,8,7,6,0,0,26,0,0,5,6,25,0,正常
,,30,2,0,6,0,0,32,0,0,7,6,30,0,正常
,,12,14,10,6,0,0,26,0,0,5,6,22,0,正常
,,15,13,9,5,0,0,28,0,0,4,4,24,0,正常
,,15,7,6,6,0,0,22,0,0,4,4,21,0,正常
,,26,0,-2,6,0,0,26,0,0,2,2,24,0,正常
,,26,6,4,6,0,0,32,0,0,3,4,30,0,正常
,,5,23,13,2,0,0,28,0,0,3,2,18,0,正常
,,5,23,13,2,0,0,28,0,0,3,2,18,0,正常
,,27,3,1,4,0,0,30,0,0,5,4,28,0,正常
,,28,2,4,8,0,0,30,0,0,6,5,32,0,正常
,,27,3,3,4,0,0,30,0,0,6,4,30,0,正常
,,5,15,11,3,0,0,20,0,0,3,3,16,0,正常
,,25,3,4,5,0,0,28,0,0,5,5,29,0,正常
,,5,17,13,4,0,0,22,0,0,4,4,18,0,正常
,,26,6,3,4,0,0,32,0,0,4,4,29,0,正常
,,27,3,3,6,0,0,30,0,0,6,6,30,0,正常
,,15,11,10,4,0,0,26,0,0,5,5,25,0,正常
,,15,11,10,4,0,0,26,0,0,5,5,25,0,正常
,,13,11,10,4,0,0,24,0,0,4,5,23,0,正常
,,22,8,8,3,0,0,30,0,0,4,3,30,0,正常
,,24,2,2,2,0,0,26,0,0,3,2,26,0,正常
,,16,6,12,4,0,0,22,0,0,4,4,28,0,正常
,,16,10,8,5,0,0,26,0,0,5,5,24,0,正常
,,15,10,11,4,0,0,25,0,0,4,4,26,0,正常
,,15,3,4,5,0,0,18,0,0,5,5,19,0,正常
,,16,8,6,2,0,0,24,0,0,3,2,22,0,正常
,,16,10,10,2,0,0,26,0,0,2,2,26,0,正常
,,16,4,4,4,0,0,20,0,0,4,4,20,0,正常
,,26,6,6,4,0,0,32,0,0,4,4,32,0,正常
,,15,13,7,5,0,0,28,0,0,5,5,22,0,正常
,,25,7,5,2,0,0,32,0,0,4,2,30,0,正常
,,15,9,7,4,0,0,24,0,0,4,4,22,0,正常
,,28,6,2,6,0,0,34,0,0,6,5,30,0,正常
,,29,7,4,4,0,0,36,0,0,6,6,33,0,正常
,,16,10,8,4,0,0,26,0,0,4,4,24,0,正常
,,29,3,2,5,0,0,32,0,0,5,4,31,0,正常
,,25,5,6,3,0,0,30,0,0,4,4,31,0,正常
,,11,9,7,4,0,0,20,0,0,2,2,18,0,正常
,,15,11,9,4,0,0,26,0,0,5,4,24,0,正常
,,25,5,3,4,0,0,30,0,0,4,4,28,0,正常
,,16,4,6,4,0,0,20,0,0,5,4,22,0,正常
,,16,10,8,6,0,0,26,0,0,6,5,24,0,正常
,,16,10,8,5,0,0,26,0,0,6,5,24,0,正常
,,15,12,9,6,0,0,27,0,0,5,6,24,0,正常
,,29,1,3,9,0,0,30,0,0,9,7,32,0,正常
,,24,8,4,4,0,0,32,0,0,6,4,28,0,正常
,,15,10,-15,4,0,0,25,0,0,4,5,0,0,正常
,,15,10,8,4,0,0,25,0,0,4,5,23,0,正常
,,15,10,8,4,0,0,25,0,0,4,5,23,0,正常
,,18,4,7,5,0,0,22,0,0,3,4,25,0,正常
,,24,4,0,1,0,0,28,0,0,2,1,24,0,正常
,,30,2,2,6,0,0,32,0,0,2,2,32,0,正常
,,29,7,6,6,0,0,36,0,0,5,4,35,0,正常
,,25,1,5,4,0,0,26,0,0,4,4,30,0,正常
,,21,5,3,3,0,0,26,0,0,4,4,24,0,正常
,,20,5,4,5,0,0,25,0,0,5,4,24,0,正常
,,10,15,12,4,0,0,25,0,0,4,5,22,0,正常
,,10,15,12,4,0,0,25,0,0,4,5,22,0,正常
,,18,10,10,3,0,0,28,0,0,3,3,28,0,正常
,,20,8,2,3,0,0,28,0,0,3,3,22,0,正常
,,10,13,10,2,0,0,23,0,0,4,4,20,0,正常
,,20,8,2,3,0,0,28,0,0,3,3,22,0,正常
,,7,14,12,4,0,0,21,0,0,3,4,19,0,正常
,,13,9,7,4,0,0,22,0,0,3,4,20,0,正常
,,29,2,1,4,0,0,31,0,0,3,3,30,0,正常
,,29,4,3,3,0,0,33,0,0,3,3,32,0,正常
,,29,4,3,3,0,0,33,0,0,3,3,32,0,正常
,,19,3,3,3,0,0,22,0,0,4,4,22,0,正常
,,30,2,3,6,0,0,32,0,0,8,8,33,0,正常
,,10,10,10,2,0,0,20,0,0,4,6,20,0,正常
,,28,6,5,4,0,0,34,0,0,4,5,33,0,正常
,,10,10,10,3,0,0,20,0,0,8,8,20,0,正常
,,29,4,3,5,0,0,33,0,0,4,5,32,0,正常
,,14,12,12,3,0,0,26,0,0,3,3,26,0,正常
,,29,7,3,6,0,0,36,0,0,5,5,32,0,正常
,,28,6,2,3,0,0,34,0,0,6,6,30,0,正常
,,29,0,1,4,0,0,29,0,0,9,8,30,0,正常
,,17,7,3,5,0,0,24,0,0,6,5,20,0,正常
,,20,-20,6,4,0,0,0,0,0,4,4,26,0,正常
,,18,8,7,6,0,0,26,0,0,4,4,25,0,正常
,,15,9,7,6,0,0,24,0,0,4,4,22,0,正常
,,30,2,2,6,0,0,32,0,0,6,7,32,0,正常
,,30,0,-3,4,0,0,30,0,0,5,5,27,0,正常
,,8,13,13,3,0,0,21,0,0,2,2,21,0,正常
,,30,-2,-2,5,0,0,28,0,0,5,5,28,0,正常
,,28,-1,0,4,0,0,27,0,0,6,4,28,0,正常
,,18,-18,-18,0,0,0,0,6,0,0,0,0,6,正常
,,15,11,8,4,0,0,26,0,0,4,4,23,0,正常
,,22,-1,4,4,0,0,21,0,0,4,3,26,0,正常
,,28,4,1,3,0,0,32,0,0,5,4,29,0,正常
,,20,4,2,6,0,0,24,0,0,6,6,22,0,正常
,,18,4,0,4,0,0,22,0,0,3,4,18,0,正常
,,28,3,3,5,0,0,31,0,0,4,4,31,0,正常
,,8,18,12,4,0,0,26,0,0,6,6,20,0,正常
,,20,4,4,4,0,0,24,0,0,4,4,24,0,正常
,,20,8,2,4,0,0,28,0,0,2,2,22,0,正常
,,27,7,5,4,0,0,34,0,0,4,4,32,0,正常
,,16,8,6,4,0,0,24,0,0,4,4,22,0,正常
,,21,5,6,5,0,0,26,0,0,5,5,27,0,正常
,,22,6,6,3,0,0,28,0,0,4,4,28,0,正常
,,23,3,2,7,0,0,26,0,0,4,6,25,0,正常
,,26,0,4,2,0,0,26,0,0,4,4,30,0,正常
,,23,-1,1,3,0,0,22,0,0,4,4,24,0,正常
,,15,6,7,4,0,0,21,0,0,4,5,22,0,正常
,,20,6,5,6,0,0,26,0,0,6,6,25,0,正常
,,20,3,3,3,0,0,23,0,0,6,3,23,0,正常
,,18,6,7,4,0,0,24,0,0,4,5,25,0,正常
,,21,9,5,6,0,0,30,0,0,5,5,26,0,正常
,,21,2,1,5,0,0,23,0,0,5,5,22,0,正常
,,27,-1,2,4,0,0,26,0,0,4,4,29,0,正常
,,20,8,8,4,0,0,28,0,0,4,4,28,0,正常
,,30,-6,-4,4,0,0,24,0,0,5,5,26,0,正常
,,16,3,1,4,0,0,19,0,0,2,2,17,0,正常
,,26,4,2,2,0,0,30,0,0,8,8,28,0,正常
